Designator,Mid X,Mid Y,Rotation,Layer
F1,14.4,-21.3264,90.0,top
R5,17.9,-17.0592,-90.0,top
J2,3.5,-23.5,-90.0,top
J1,14.8,0.05,0.0,top
S1,3.3,-3.35,0.0,top
J4,15.042,-24.966,0.0,top
R1,13.1,-17.0592,-90.0,top
S2,83.2,-3.35,0.0,top
R6,10.9,-17.0592,-90.0,top
U2,14.4,-11.8,90.0,top
R2,15.7,-17.0592,-90.0,top
