Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,121.525,0.06,0,bottom
J2,ai03_ud,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,141.331,-8.489,-90,bottom
